ID;sexo;edad;ocupa;reli;sexismo1;sexismo2;sexismo3;sexismo4;conogay;conoles;amigay;amiles;afe1gay;afe2gay;afe3gay;afe4gay;afe1les;afe2les;afe3les;afe4les;homo1gay;homo2gay;homo3gay;homo4gay;homo5gay;homo6gay;homo7gay;homo1les;homo2les;homo3les;homo4les;homo5les;homo6les;homo7les;int1gay;int2gay;int3gay;int4gay;int1les;int2les;int3les;int4les;DD01_01;DD01_02;DD02_01;DD02_02
775;1;24;1;5;3;3;3;3;6;2;3;0;3;4;3;3;3;4;3;3;4;3;3;2;4;5;3;3;4;3;2;3;5;3;3;3;3;3;3;3;3;3;1;1;3;3
187;1;23;1;4;2;4;2;2;5;4;4;3;3;4;3;3;4;4;3;4;3;3;4;3;4;2;3;3;2;3;3;4;4;3;3;3;3;3;3;3;3;3;4;3;4;4
368;0;23;1;2;4;2;2;4;3;3;0;0;3;4;3;3;4;4;3;3;3;2;5;4;2;1;5;3;2;4;3;3;2;4;3;3;3;3;3;3;3;3;4;2;4;4
457;1;22;1;5;3;5;3;3;1;0;0;0;3;4;4;4;4;3;4;3;2;2;4;3;3;2;3;2;2;3;4;3;2;3;4;4;4;3;4;4;4;3;4;4;4;4
239;0;22;1;6;3;4;3;3;5;2;2;1;3;4;3;3;3;3;3;3;4;3;4;3;3;4;4;3;3;3;3;3;3;3;4;4;3;3;4;4;4;3;2;2;3;3
265;0;22;1;3;3;2;3;3;0;3;0;0;3;3;3;3;3;3;3;3;2;2;3;3;3;1;3;2;2;3;2;2;1;2;3;3;3;3;3;3;3;3;4;4;4;4
402;1;22;1;7;2;4;2;3;1;2;0;0;3;4;3;3;3;4;3;3;3;2;4;2;4;3;3;4;2;4;2;4;3;2;3;3;3;3;3;3;3;3;4;1;3;4
622;0;22;1;2;1;4;1;1;0;1;0;0;3;3;3;3;3;3;3;3;3;1;2;2;3;4;2;3;1;1;1;2;4;2;3;3;3;3;3;3;3;3;5;5;5;5
750;1;22;1;5;3;4;2;3;1;2;0;0;3;4;3;3;3;4;3;3;3;3;4;3;4;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;1;2;4
762;0;22;1;4;3;4;3;2;2;2;0;2;3;5;3;3;3;5;3;4;2;2;3;2;3;3;1;1;1;3;1;1;1;1;3;3;3;3;3;3;3;3;4;4;4;3
773;1;22;1;4;3;4;4;4;2;1;0;1;3;4;4;3;3;4;4;3;3;2;4;4;2;4;4;3;1;5;4;4;4;5;3;3;3;3;3;3;3;3;1;2;3;3
794;0;22;1;7;2;4;3;2;0;1;0;1;3;5;3;3;3;5;3;3;3;2;5;2;4;3;4;3;2;4;3;4;4;4;4;4;4;3;4;4;4;3;1;1;3;3
798;0;22;1;3;3;5;3;2;0;0;0;0;3;3;3;3;5;5;3;5;3;2;3;4;4;3;4;3;2;3;4;4;3;4;3;3;3;3;4;4;4;4;4;4;4;4
849;0;22;1;1;3;4;2;4;0;0;0;3;3;4;3;3;4;5;5;5;1;2;3;5;3;4;4;1;1;1;2;1;1;1;3;3;4;4;4;5;5;4;1;1;4;4
