id,idcntry,mat,len,cie,dep,rur,sex,age,edm,edp,s01,s02,s03,s04,s05,s06,s07,b01,b02,b03,b04,b05,b06,b07,b08,bok,am1,am2,am3,as1,as2,as3,re1,re2,re3,re4,re5,re6,re7,ma1,ma2,ma3,ma4,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,rep,v01,v02,v03,v04,v05,v06
15260120106,152,743.275791584459,769.305214794915,744.345111642711,0,0,0,12,3,3,1,1,1,1,1,1,1,3,3,3,2,1,3,3,0,6,3,2,3,1,1,1,2,1,1,1,2,3,1,3,3,2,3,3,2,3,2,1,2,2,1,1,2,2,2,1,0,0,0,0,0,0
15260280117,152,707.255707631048,703.719781387979,696.038706087208,0,0,1,12,6,3,1,1,1,NA,1,NA,NA,3,2,1,2,2,0,3,0,5,3,2,2,1,1,1,3,2,3,3,3,3,2,3,3,3,2,2,1,3,3,3,3,3,2,3,2,2,3,1,0,0,0,0,0,0
15261130213,152,916.031434716938,933.044130210279,763.468318954096,1,0,0,12,5,5,1,1,0,1,1,1,1,3,3,2,3,1,0,3,3,5,3,2,2,1,1,1,1,1,1,2,1,3,2,1,3,2,3,3,1,2,3,1,1,2,1,3,1,1,3,1,0,0,0,0,0,0
15260400103,152,711.244424554565,801.737921106328,664.221162044796,0,1,1,12,2,2,1,0,0,0,0,0,0,1,1,0,0,1,3,0,3,2,2,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,2,3,3,3,3,3,1,0,0,0,0,0,0
15260180203,152,741.891939640531,671.774278450193,663.723741187988,0,0,0,11,NA,NA,1,1,0,1,1,1,1,2,1,2,1,1,0,3,1,4,2,1,3,2,1,1,1,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,3,3,1,0,1,0,1,0,1
15260780124,152,658.462980198051,789.787448899724,805.021852741926,0,1,0,12,2,3,1,1,1,0,1,1,1,2,1,2,1,1,0,2,0,3,3,2,2,1,1,1,3,3,3,3,2,3,2,3,2,3,3,3,1,3,2,2,2,2,3,2,2,3,3,1,0,0,0,0,1,1
15260890121,152,867.962186666611,789.787448899724,899.109955495348,1,0,1,13,4,4,1,1,1,1,1,1,1,2,3,2,1,1,0,3,1,3,2,2,2,1,1,1,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,2,2,3,3,2,2,1,0,0,0,0,0,0
15260860209,152,720.416838815629,673.866863289994,833.83942197695,0,1,0,13,6,3,1,1,1,1,1,0,1,3,2,1,1,1,3,0,1,2,2,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,3,3,2,0,0,0,0,0,0
15260920107,152,1150,1088.93500984238,956.142027903091,1,0,1,12,4,5,1,1,1,1,1,1,1,3,2,3,2,1,2,3,3,6,2,3,1,1,2,1,3,3,3,3,3,3,3,3,3,3,1,3,3,2,3,3,2,2,2,2,3,1,2,1,0,0,0,0,0,0
15261550114,152,924.402929010597,771.440359779417,900.930870374094,1,0,1,11,3,6,1,1,1,0,1,0,1,3,2,1,1,1,2,3,0,6,2,3,1,2,2,1,3,3,2,3,2,3,3,3,3,3,1,3,2,3,2,3,2,2,2,2,2,3,3,1,0,0,0,0,0,0
15260090116,152,758.481775739456,755.975257901342,763.468318954096,0,0,1,12,3,2,1,1,1,0,0,0,0,2,1,1,1,1,3,1,1,5,2,3,2,2,2,1,2,3,3,3,3,2,3,3,3,3,2,3,2,3,3,2,3,2,2,3,3,3,3,1,0,0,0,0,0,0
15260800128,152,858.170757505403,861.259759448302,877.247556556286,0,1,1,12,NA,3,1,1,1,0,1,1,1,2,2,1,1,1,3,1,0,5,2,3,1,1,1,1,3,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,3,3,1,3,2,1,3,1,0,0,0,0,0,0
15260320236,152,753.380562454932,605.940340639263,583.016880301769,0,0,0,13,6,6,1,1,NA,0,1,1,0,2,2,1,1,1,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15261090223,152,922.818645504263,784.97010668571,1120.9339904645,1,0,0,12,4,5,1,1,1,1,1,1,1,3,3,2,1,1,0,3,2,6,2,3,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,3,2,3,2,1,3,3,3,2,1,2,1,0,0,0,0,0,0
15261090230,152,799.820972702492,763.331321493914,821.19714889962,1,0,1,12,6,6,1,1,1,1,1,1,1,3,2,3,1,1,0,3,2,6,2,3,2,1,1,1,3,3,3,2,3,3,2,3,3,3,2,2,2,3,3,2,3,2,3,3,2,3,3,1,0,0,0,0,0,0
15261740301,152,861.353442758634,809.722119866552,730.865360950977,1,0,1,12,5,5,1,1,1,1,1,1,1,3,1,2,1,1,1,3,2,6,3,3,3,1,1,1,2,2,1,1,2,3,3,3,3,3,3,1,3,3,3,2,1,3,1,1,3,2,2,1,0,0,0,0,0,0
15261760223,152,845.490045409845,885.855040893083,969.911438875634,1,0,0,12,6,3,1,1,1,1,1,1,0,3,2,1,1,1,1,2,1,4,2,3,1,1,1,2,3,3,3,2,3,3,3,3,2,3,2,3,2,3,3,2,2,2,3,2,3,3,3,1,0,0,0,0,0,1
15260260130,152,825.863996733009,741.642854517584,749.224327285214,0,0,0,12,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,0,4,2,2,2,1,1,1,2,3,2,2,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,1,1,2,3,1,0,0,0,0,0,0
15261780139,152,966.020818864017,759.400762135943,795.69693553946,1,0,0,12,6,3,1,1,1,0,1,0,1,3,2,2,1,1,3,1,1,6,2,2,2,1,1,1,2,3,3,3,2,2,3,3,2,3,2,2,2,2,3,2,2,2,2,3,2,3,3,1,0,0,0,0,0,0
