FOLIO,IDG1,IDG2,IGD3,IDG4,ID5,SV,ACT1,ACT2,ACT3,ACT4,ACT5,DIS1,DIS2,DIS3,DIS4,DIS5,AM1,AM2,AM3,AM4,AM5,C1,C2,C3,C4,C5,EN1,EN2,EN3,EN4,EN5,EP1,EP2,EP3,EP4,EP5,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,SEXO,EDAD,NIVED,ESTCIV,PP,PO,ING,REL,FREL
1505,5,4,1,4,4,8,9,5,5,5,5,4,5,5,4,4,2,2,2,2,2,2,2,1,1,1, , ,1,1,1, , ,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,48,5,4,88,10,8,1,1
1506,4,3,2,4,4,8,3,3,2,3,3,5,5,4,1,3,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,2,4,3,3,3,2,2,2,2,2,2,1,1,2,2,2,2,23,5,2,5,10, ,1,1
1507,5,4,1,4,4,6,9,4,4,4,4,5,5,5,5,5,3,3,3,3,3,2,2,1,1,1, , ,1,1,1, , ,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,33,7,5,88,10,8,1,1
1508,5,4,1,4,3,9,9,9,9,5,5,5,5,5,5,5,9,9,4,4,4,2,2,1,1,1, , ,1,1,1, , ,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,30,5,2,8,10, ,9, 
1509,3,3,2,4,4,10,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,32,9,1,88,10,10,2,3
1510,4,4,1,4,4,5,1,2,3,3,3,3,3,3,3,3,9,9,4,4,4,1,1,1,1,1,2,1,1,1,1,3,3,5,5,5,2,2,2,2,2,2,2,2,2,2,2,1,69,5,4,10,10, ,1,3
1511,5,5,1,5,5,3,2,3,3,5,3,3,3,2,1,3,5,1,3,2,2,1,1,1,1,2,3,2,2,1, ,3,3,3,3, ,2,2,2,2,2,2,2,2,2,2,2,2,38,7,1,88,10, ,1,3
1512,2,4,3,2,2,6,9,4,9,2,4,9,2,9,1,3,1,1,4,5,1,2,2,2,2,1, , , , ,1, , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,60,5,2,99,10, ,9, 
1513,4,5,2,4,4,8,3,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1, ,2,2,2,2, ,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,25,9,3,88,10,4,9, 
1514,5,4,2,5,5,9,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,50,5,1,88,10, ,9, 
